brand_name,category_name,quality_code,count_items_per_category,avg_erp,avg_listed_price,avg_sold_price
Alexander McQueen,Cashmere Pullover Sweater,Q2,1,1090,108.74,108.74
Alexander McQueen,Casual Dress,Q1,11,1175.82,407.31,470.74
Alexander McQueen,Casual Dress,Q2,5,790,316.49,316.49
Alexander McQueen,Casual Dress,Q3,3,1474.33,211.74,75.74
Alexander McQueen,Casual Pants,Q2,2,900,182.24,182.24
Alexander McQueen,Casual Skirt,Q1,2,837.5,207.74,78.37
Alexander McQueen,Casual Skirt,Q2,1,1095,218.74,218.74
Alexander McQueen,Clutch,Q1,1,540,242.74,242.74
Alexander McQueen,Coat,Q1,1,3100,403.74,403.74
Alexander McQueen,Coat,Q2,1,1600,529.74,529.74
Alexander McQueen,Cocktail Dress,Q1,11,1647.55,398.04,395.52
Alexander McQueen,Cocktail Dress,Q2,11,1472.82,320.92,334.96
Alexander McQueen,Cocktail Dress,Q3,7,2080.71,338.6,361.74
Alexander McQueen,Crossbody Bag,Q1,1,850,186.74,186.74
Alexander McQueen,Denim Shorts,Q1,1,525,120.74,120.74
Alexander McQueen,Denim Skirt,Q2,1,1100,null,null
Alexander McQueen,Dress Pants,Q1,1,382,null,null
Alexander McQueen,Dress Pants,Q2,3,990,204.74,98.74
Alexander McQueen,Faux Leather Skirt,Q1,1,1350,256.74,256.74
Alexander McQueen,Flats,Q2,3,716.67,203.07,209.74
Alexander McQueen,Flats,Q3,1,1090,217.74,217.74
Alexander McQueen,Formal Skirt,Q1,1,1490,509.74,509.74
Alexander McQueen,Formal Skirt,Q2,1,306,null,null
Alexander McQueen,Heels,Q1,2,1020,440.74,376.74
Alexander McQueen,Heels,Q2,8,858,178.45,180.74
Alexander McQueen,Heels,Q3,3,963.33,141.74,123.24
Alexander McQueen,Jacket,Q1,2,1345,329.74,109.74
Alexander McQueen,Jacket,Q2,2,1447.5,537.74,537.74
Alexander McQueen,Jeans,Q1,3,665.33,201.24,201.24
Alexander McQueen,Jeans,Q2,1,890,222.74,222.74
Alexander McQueen,Leather Card Holder,Q1,1,175,122.74,122.74
Alexander McQueen,Leather Clutch,Q1,4,642.5,437.99,197.87
Alexander McQueen,Leather Clutch,Q2,2,2015,536.24,536.24
Alexander McQueen,Leather Clutch,Q3,1,1545,231.74,231.74
Alexander McQueen,Leather Crossbody Bag,Q3,2,1120,224.74,null
Alexander McQueen,Leather Pants,Q1,1,2149,644.74,644.74
Alexander McQueen,Leather Satchel,Q1,1,458,null,null
Alexander McQueen,Leather Tote,Q1,1,1645,789.74,null
Alexander McQueen,Leather Tote,Q2,2,1522.5,489.24,489.24
Alexander McQueen,Leather Tote,Q3,1,458,100.74,100.74
Alexander McQueen,Leggings,Q2,1,990,178.74,null
Alexander McQueen,Long Sleeve Blouse,Q2,1,1150,229.74,null
Alexander McQueen,Long Sleeve Silk Top,Q2,2,1590,255.24,null
Alexander McQueen,Long Sleeve T-Shirt,Q1,1,153,null,null
Alexander McQueen,Long Sleeve Top,Q1,1,1120,280.74,null
Alexander McQueen,Mule/Clog,Q3,1,595,101.74,101.74
Alexander McQueen,Pullover Sweater,Q2,2,922.5,264.24,264.24
Alexander McQueen,Sandals,Q1,1,790,213.74,null
Alexander McQueen,Sandals,Q2,7,653.29,133.07,128.94
Alexander McQueen,Sandals,Q3,1,290,101.74,101.74
Alexander McQueen,Satchel,Q2,1,2195,659.74,659.74
Alexander McQueen,Scarf,Q1,5,394,177.94,172.99
Alexander McQueen,Scarf,Q2,5,320.6,113.99,113.99
Alexander McQueen,Short Sleeve T-Shirt,Q1,1,490,97.74,97.74
Alexander McQueen,Short Sleeve T-Shirt,Q2,2,260,97.24,97.24
Alexander McQueen,Short Sleeve Top,Q2,2,672.5,168.74,193.74
Alexander McQueen,Short Sleeve Turtleneck,Q3,1,490,73.74,73.74
Alexander McQueen,Silk Scarf,Q1,4,401.75,226.74,226.74
Alexander McQueen,Silk Scarf,Q2,8,404.38,185.99,185.99
Alexander McQueen,Sleeveless Blouse,Q1,1,300,72.74,72.74
Alexander McQueen,Sleeveless Top,Q1,1,1090,152.74,152.74
Alexander McQueen,Sleeveless Top,Q2,3,856.67,190.41,226.74
Alexander McQueen,Sleeveless Top,Q3,1,1290,180.74,180.74
Alexander McQueen,Sneakers,Q1,1,837,251.74,251.74
Alexander McQueen,Sneakers,Q2,18,536.61,212.49,200.74
Alexander McQueen,Sneakers,Q3,12,606.92,166.04,125.77
Alexander McQueen,Snow Jacket,Q2,1,1100,451.74,451.74
Alexander McQueen,Sunglasses,Q1,3,338.67,110.74,110.74
Alexander McQueen,Sunglasses,Q2,7,339,112.74,112.74
Alexander McQueen,Sunglasses,Q3,1,236,63.74,63.74
Alexander McQueen,Sweatshirt,Q3,2,464,86.24,86.24
Alexander McQueen,Tank Top,Q2,1,350,80.74,80.74
Alexander McQueen,Tote,Q1,1,1370,315.74,315.74
Alexander McQueen,Trenchcoat,Q2,1,3100,1054.74,1054.74
Alexander McQueen,Turtleneck Sweater,Q1,1,1990,457.74,457.74
Alexander McQueen,Turtleneck Sweater,Q3,1,910,90.74,90.74
Alexander McQueen,Tuxedo Vest,Q2,1,1390,319.74,0
Alexander McQueen,Wool Cardigan,Q3,1,1690,321.74,321.74
Alexander McQueen,Wool Coat,Q1,1,3700,999.74,999.74
Alexander McQueen,Wool Pants,Q1,4,1255,246.07,155.74
Alexander McQueen,Wool Pants,Q2,2,1190,285.74,285.74
Alexander McQueen,Wool Pants,Q3,2,801,86.24,86.24
Alexander McQueen,Wool Pullover Sweater,Q1,1,785,235.74,235.74
Alexander McQueen,Wool Pullover Sweater,Q2,2,917.5,221.74,221.74
Alexander McQueen,Wool Pullover Sweater,Q3,1,1090,87.74,87.74
Alexander McQueen,Wool Skirt,Q1,1,1400,279.74,279.74
Alexander McQueen,Wool Skirt,Q2,5,1052.2,363.41,0
Alexander McQueen for Target,Active Tank,Q3,1,25,11.74,11.74
Alexander McQueen for Target,Raincoat,Q2,1,382,84.74,84.74
Alexander Wang,3/4 Sleeve Silk Top,Q2,1,525,131.74,null
Alexander Wang,Active Pants,Q1,2,472.5,83.24,83.24
Alexander Wang,Active T-Shirt,Q2,1,45,31.74,31.74
Alexander Wang,Ankle Boots,Q1,4,797.5,225.49,225.49
Alexander Wang,Ankle Boots,Q2,34,680.91,139.46,135.69
Alexander Wang,Ankle Boots,Q3,10,750,108.14,98.49
Alexander Wang,Athletic Shorts,Q1,1,495,null,null
Alexander Wang,Athletic Shorts,Q3,1,450,94.74,null
Alexander Wang,Backpack,Q2,1,890,160.74,160.74
Alexander Wang,Belt Bag,Q1,1,650,188.74,188.74
Alexander Wang,Belt Bag,Q2,1,550,154.74,null
Alexander Wang,Blazer,Q2,2,722.5,180.74,180.74
Alexander Wang,Bodysuit,Q2,1,95,23.74,23.74
Alexander Wang,Boots,Q1,2,872.5,269.24,269.24
Alexander Wang,Boots,Q2,5,728.4,189.07,162.74
Alexander Wang,Boots,Q3,1,650,129.74,null
Alexander Wang,Cardigan,Q2,2,388.5,98.74,98.74
Alexander Wang,Cargo Pants,Q3,1,625,175.74,175.74
Alexander Wang,Casual Dress,Q1,5,475.2,116.74,59.24
Alexander Wang,Casual Dress,Q2,10,624.1,159.52,101.83
Alexander Wang,Casual Pants,Q1,1,225,56.74,null
Alexander Wang,Casual Pants,Q2,1,695,194.74,null
Alexander Wang,Casual Pants,Q3,2,507.5,103.24,103.24
Alexander Wang,Casual Skirt,Q1,2,461,154.74,null
Alexander Wang,Casual Skirt,Q2,4,448,91.99,69.74
Alexander Wang,Clutch,Q3,1,350,69.74,69.74
Alexander Wang,Coat,Q2,1,798,127.74,127.74
Alexander Wang,Cocktail Dress,Q1,9,654.89,187.99,172.41
Alexander Wang,Cocktail Dress,Q2,19,776.37,162.63,134.66
Alexander Wang,Cocktail Dress,Q3,4,663.75,121.24,84.74
Alexander Wang,Crossbody Bag,Q2,2,616,238.74,null
Alexander Wang,Denim Shorts,Q1,8,309.25,111.31,111.31
Alexander Wang,Denim Shorts,Q2,9,335,108.07,78.12
Alexander Wang,Denim Skirt,Q3,1,550,220.74,220.74
Alexander Wang,Dress Pants,Q1,1,750,172.74,null
Alexander Wang,Dress Pants,Q2,1,850,127.74,null
Alexander Wang,Flats,Q1,1,495,198.74,null
Alexander Wang,Flats,Q2,7,588.57,137.45,136.41
Alexander Wang,Flats,Q3,1,650,182.74,182.74
Alexander Wang,Formal Skirt,Q1,2,535,163.24,null
Alexander Wang,Formal Skirt,Q2,5,448,142.74,null
Alexander Wang,Heels,Q1,2,425,88.74,88.74
Alexander Wang,Heels,Q2,8,610,159.45,101.34
Alexander Wang,Heels,Q3,9,580.56,109.99,116.24
Alexander Wang,Jacket,Q2,4,686.25,180.74,149.74
Alexander Wang,Jacket,Q3,1,795,158.74,null
Alexander Wang,Jeans,Q1,1,570,null,null
Alexander Wang,Jeans,Q2,6,463,108.07,103.94
Alexander Wang,Jeans,Q3,2,1022.5,127.24,127.24
Alexander Wang,Jumpsuit,Q2,1,1300,325.74,325.74
Alexander Wang,Leather Belt Bag,Q2,3,543.33,196.74,194.74
Alexander Wang,Leather Belt Bag,Q3,1,650,129.74,129.74
Alexander Wang,Leather Bucket Bag,Q1,1,1195,191.74,191.74
Alexander Wang,Leather Bucket Bag,Q2,2,715,213.24,213.24
Alexander Wang,Leather Clutch,Q2,2,400,82.74,82.74
Alexander Wang,Leather Crossbody Bag,Q2,7,748.71,245.17,243.74
Alexander Wang,Leather Crossbody Bag,Q3,2,522.5,155.24,84.74
Alexander Wang,Leather Hobo,Q2,2,810,198.74,198.74
Alexander Wang,Leather Satchel,Q1,1,595,392.74,392.74
Alexander Wang,Leather Satchel,Q2,8,862.25,268.49,268.49
Alexander Wang,Leather Satchel,Q3,1,1000,109.74,null
Alexander Wang,Leather Shoulder Bag,Q2,3,967,254.41,151.74
Alexander Wang,Leather Skirt,Q2,1,895,null,null
Alexander Wang,Leather Tote,Q3,2,637.5,127.24,79.74
Alexander Wang,Long Sleeve Blouse,Q1,1,350,108.74,108.74
Alexander Wang,Long Sleeve Button-Down Shirt,Q2,1,425,102.74,null
Alexander Wang,Long Sleeve Silk Top,Q1,1,550,165.74,null
Alexander Wang,Long Sleeve T-Shirt,Q2,2,174,56.74,56.74
Alexander Wang,Long Sleeve Top,Q1,4,365,121.41,62.24
Alexander Wang,Long Sleeve Top,Q2,3,384.67,111.74,47.74
Alexander Wang,Long Sleeve Top,Q3,1,400,83.74,null
Alexander Wang,Long Sleeve Turtleneck,Q3,1,525,131.74,null
Alexander Wang,Makeup Bag,Q1,1,153,null,null
Alexander Wang,Mule/Clog,Q2,2,672.5,254.74,254.74
Alexander Wang,Pullover Hoodie,Q1,1,306,null,null
Alexander Wang,Pullover Sweater,Q1,1,525,178.74,178.74
Alexander Wang,Pullover Sweater,Q2,9,429.22,111.07,95.07
Alexander Wang,Pullover Sweater,Q3,1,695,null,null
Alexander Wang,Romper,Q2,1,650,45.74,null
