item_number,brand_name,category,quality_code,estimated_erp,listed_price,sold_price
213917998,Alaïa,Ankle Boots,Q3,1430.0,215.74,215.74
212396808,Alaïa,Bodysuit,Q2,1860.0,250.74,250.74
208398893,Alaïa,Bodysuit,Q2,900.0,225.74,225.74
216055021,Alaïa,Bodysuit,Q2,1998.0,399.74,399.74
206474260,Alaïa,Bodysuit,Q3,790.0,221.74,210.74
216624136,Alaïa,Boots,Q2,375.0,45.74,45.74
209045755,Alaïa,Cashmere Pullover Sweater,Q2,2490.0,448.74,448.74
207417544,Alaïa,Casual Pants,Q2,2500.0,604.74,604.74
207725826,Alaïa,Casual Pants,Q2,1850.0,222.74,222.74
209427782,Alaïa,Casual Pants,Q2,2500.0,694.74,458.74
205926677,Alaïa,Casual Skirt,Q1,1500.0,225.74,99.74
207771363,Alaïa,Casual Skirt,Q2,1750.0,174.74,174.74
208925925,Alaïa,Cocktail Dress,Q2,1200.0,263.74,263.74
210323285,Alaïa,Cocktail Dress,Q2,3450.0,969.74,400.74
209844117,Alaïa,Cocktail Dress,Q2,3390.0,614.74,400.74
216660054,Alaïa,Cocktail Dress,Q2,2806.0,494.74,324.74
214429273,Alaïa,Flats,Q2,1250.0,262.74,262.74
211147882,Alaïa,Flats,Q2,950.0,389.74,389.74
207908761,Alaïa,Flats,Q2,1350.0,337.74,337.74
207927648,Alaïa,Flats,Q2,1250.0,889.74,849.74
208461005,Alaïa,Flats,Q3,950.0,69.74,69.74
211179544,Alaïa,Gloves,Q1,560.0,364.74,364.74
214869609,Alaïa,Gloves,Q1,560.0,364.74,364.74
209606415,Alaïa,Heels,Q2,1565.0,172.74,164.74
211357777,Alaïa,Heels,Q2,1918.0,134.74,134.74
207537930,Alaïa,Heels,Q2,1385.0,193.74,0.0
217081776,Alaïa,Heels,Q2,975.0,604.74,604.74
214461194,Alaïa,Heels,Q2,1400.0,139.74,139.74
208304573,Alaïa,Leather Shoulder Bag,Q2,2950.0,2399.74,989.74
208992565,Alaïa,Leather Tote,Q3,3700.0,1599.74,0.0
208382943,Alaïa,Poncho,Q2,2490.0,373.74,355.74
206360672,Alaïa,Sandals,Q1,950.0,446.74,446.74
214891596,Alaïa,Sandals,Q2,1290.0,180.74,138.74
218196341,Alaïa,Sandals,Q2,400.0,144.74,144.74
211091450,Alaïa,Sandals,Q2,1550.0,340.74,340.74
214387301,Alaïa,Sandals,Q2,1090.0,239.74,239.74
205927692,Alaïa,Sleeveless Top,Q2,1500.0,240.74,99.74
207842298,Alaïa,Sunglasses,Q1,540.0,226.74,199.74
212477233,Alaïa,Sunglasses,Q1,199.0,93.74,93.74
207440480,Alaïa,Sunglasses,Q2,459.0,174.74,157.74
205793830,Alaïa,Tote,Q2,1745.0,1504.74,1504.74
207510710,Alaïa,Wedges,Q2,1300.0,208.74,208.74
208477783,Alaïa,Wool Cardigan,Q2,1140.0,262.74,0.0
207847822,Alexander Girard x Kate Spade New York,Short Sleeve T-Shirt,Q1,125.0,54.74,54.74
205929058,Alexander McQueen,Active Pants,Q1,1770.0,194.74,124.74
211195883,Alexander McQueen,Active Pants,Q2,200.0,119.74,119.74
207902828,Alexander McQueen,Active Pants,Q2,200.0,119.74,119.74
210586686,Alexander McQueen,Ankle Boots,Q1,1990.0,804.74,804.74
209033984,Alexander McQueen,Ankle Boots,Q1,1150.0,299.74,279.74
210946512,Alexander McQueen,Ankle Boots,Q2,1200.0,399.74,0.0
209033881,Alexander McQueen,Ankle Boots,Q2,1150.0,299.74,239.74
206745583,Alexander McQueen,Ankle Boots,Q2,650.0,285.74,285.74
213509696,Alexander McQueen,Ankle Boots,Q2,1365.0,313.74,313.74
206900247,Alexander McQueen,Ankle Boots,Q3,1390.0,208.74,199.74
210424386,Alexander McQueen,Ankle Boots,Q3,1102.0,88.74,88.74
210597555,Alexander McQueen,Ankle Boots,Q3,1190.0,199.74,220.74
208584101,Alexander McQueen,Ankle Boots,Q3,700.0,189.74,189.74
209296783,Alexander McQueen,Blazer,Q2,795.0,119.74,119.74
217676501,Alexander McQueen,Blazer,Q2,750.0,225.74,225.74
214855412,Alexander McQueen,Blazer,Q2,2590.0,779.74,779.74
214561086,Alexander McQueen,Blazer,Q3,1355.0,203.74,203.74
209482981,Alexander McQueen,Boots,Q1,1150.0,471.74,279.74
212241833,Alexander McQueen,Boots,Q1,780.0,265.74,265.74
214748198,Alexander McQueen,Boots,Q1,1390.0,409.74,409.74
210854985,Alexander McQueen,Boots,Q2,950.0,380.74,380.74
213028958,Alexander McQueen,Boots,Q2,1150.0,250.74,225.74
213129684,Alexander McQueen,Boots,Q2,1190.0,249.74,249.74
