,Name,Average Price At Listing,COUNT of items,SELL THRU % items sold in 7 listing days,SELL THRU % items sold in 14 listing days,SELL THRU % items sold in 30 listing Days,SELL THRU % items sold in 3 listing months,SELL THRU % items sold in 6 listing months,SELL THRU % items sold in 9 listing months,SELL THRU % items sold in 12 listing months
32,The Row,$361.67,488,12.7%,19.3%,31.1%,66.6%,80.9%,81.8%,81.8%
33,Moschino,$149.60,432,14.1%,21.1%,32.4%,62.3%,75.2%,76.4%,76.4%
34,Yves Saint Laurent Rive Gauche,$219.77,423,18.7%,27.0%,36.6%,69.3%,83.0%,84.2%,84.2%
35,Manolo Blahnik,$177.28,418,18.2%,31.8%,51.0%,83.5%,95.2%,95.9%,95.9%
36,Loewe,$352.08,380,18.2%,28.4%,40.5%,73.7%,81.8%,81.8%,81.8%
37,Telfar,$144.77,353,33.7%,48.4%,60.9%,77.3%,89.8%,90.1%,90.1%
38,Play Comme Des Garçons,$76.89,353,28.6%,53.5%,74.8%,87.3%,90.9%,90.9%,90.9%
39,ESSENTIALS Fear of God ,$61.39,309,51.1%,62.8%,74.1%,84.8%,88.3%,88.3%,88.3%
40,Canada Goose,$345.95,277,63.2%,71.5%,81.2%,91.7%,93.9%,93.9%,93.9%
41,VALENTINO By Mario Valentino,$120.25,252,38.5%,55.2%,71.8%,85.3%,88.9%,88.9%,88.9%
42,Totême,$241.38,251,26.3%,31.9%,45.0%,66.5%,76.9%,76.9%,76.9%
43,OFF-WHITE,$224.75,242,10.7%,16.9%,30.2%,55.0%,69.0%,69.8%,69.8%
44,Jacquemus,$231.06,228,21.9%,31.6%,44.3%,67.5%,78.1%,79.4%,79.4%
45,Balmain,$351.09,225,23.1%,32.4%,44.9%,72.4%,78.7%,79.6%,79.6%
46,Adidas x Yeezy,$128.42,223,14.3%,23.8%,36.8%,63.7%,75.3%,77.6%,77.6%
47,Gianni Versace,$239.67,222,8.6%,14.9%,27.0%,65.8%,77.5%,78.4%,78.4%
48,Burberry Blue Label,$169.53,216,38.0%,50.0%,69.0%,87.5%,90.7%,90.7%,90.7%
49,Supreme,$84.25,211,53.6%,69.2%,82.9%,92.4%,94.3%,94.3%,94.3%
50,Dior,$239.61,207,24.2%,31.9%,45.4%,67.6%,76.3%,78.3%,78.3%
51,Acne,$109.89,197,11.7%,19.8%,35.5%,64.0%,74.1%,76.6%,76.6%
52,Assorted Brands,$20.44,192,30.7%,41.1%,58.9%,69.8%,76.6%,78.1%,78.1%
53,Mulberry,$306.81,160,27.5%,36.3%,48.1%,78.1%,86.3%,86.3%,86.3%
54,Gucci Outlet,$372.45,160,9.4%,17.5%,36.9%,74.4%,80.0%,80.0%,80.0%
55,Comme des Garçons play x Converse,$71.84,154,46.8%,63.0%,79.9%,92.2%,92.9%,93.5%,93.5%
56,Cat & Jack,$7.80,143,25.9%,41.3%,61.5%,81.1%,86.0%,86.0%,86.0%
57,Loro Piana,$356.08,116,21.6%,31.0%,39.7%,50.9%,50.9%,50.9%,50.9%
58,Boutique Moschino,$153.55,109,7.3%,11.9%,22.9%,47.7%,63.3%,67.0%,67.0%
59,Stussy,$62.89,108,38.0%,49.1%,72.2%,88.9%,91.7%,91.7%,91.7%
60,Vivienne Westwood,$188.63,107,56.1%,67.3%,75.7%,87.9%,89.7%,89.7%,89.7%
61,Chanel Boutique,$607.06,103,15.5%,22.3%,29.1%,72.8%,81.6%,81.6%,81.6%
62,Dsquared2,$198.66,98,7.1%,16.3%,34.7%,60.2%,79.6%,79.6%,79.6%
63,Unbranded,$15.90,98,35.7%,51.0%,58.2%,69.4%,74.5%,76.5%,76.5%
64,Anti Social Social Club,$63.48,86,36.0%,52.3%,69.8%,87.2%,89.5%,89.5%,89.5%
65,Burberry Prorsum,$277.83,84,22.6%,29.8%,45.2%,75.0%,85.7%,85.7%,86.9%
66,Moschino Couture ,$220.32,79,13.9%,16.5%,27.8%,48.1%,53.2%,54.4%,54.4%
67,Comme des Garçons ,$142.82,76,30.3%,44.7%,61.8%,81.6%,85.5%,86.8%,86.8%
68,Rick Owens,$293.95,65,13.8%,24.6%,35.4%,67.7%,73.8%,73.8%,73.8%
69,Palm Angels,$182.69,61,8.2%,8.2%,19.7%,54.1%,70.5%,73.8%,73.8%
70,HERVE by Herve Leger,$77.26,59,5.1%,11.9%,22.0%,40.7%,59.3%,59.3%,59.3%
71,Christian Dior Boutique,$334.11,55,18.2%,27.3%,45.5%,80.0%,85.5%,85.5%,85.5%
72,GOLF,$55.45,53,9.4%,24.5%,47.2%,75.5%,86.8%,86.8%,88.7%
73,Vivienne Westwood Anglomania,$196.69,53,39.6%,47.2%,66.0%,88.7%,88.7%,88.7%,88.7%
74,Blå Konst Acne Studios,$85.80,52,11.5%,15.4%,32.7%,40.4%,44.2%,44.2%,44.2%
75,Valentino Miss V,$142.57,47,4.3%,17.0%,23.4%,53.2%,55.3%,57.4%,57.4%
76,A Bathing Ape,$143.06,45,22.2%,28.9%,40.0%,75.6%,82.2%,88.9%,88.9%
77,Christian Dior Separates,$145.74,44,11.4%,20.5%,43.2%,65.9%,77.3%,77.3%,77.3%
78,Fendi Selleria,$389.62,39,2.6%,10.3%,17.9%,64.1%,74.4%,74.4%,74.4%
79,Polène ,$343.00,38,81.6%,89.5%,89.5%,92.1%,92.1%,92.1%,92.1%
80,Songmont,$271.54,35,54.3%,62.9%,77.1%,82.9%,82.9%,82.9%,82.9%
81,Thom Browne,$372.88,35,31.4%,34.3%,45.7%,74.3%,80.0%,80.0%,80.0%
82,Burberry Golf,$73.80,34,35.3%,44.1%,64.7%,70.6%,70.6%,70.6%,70.6%
83,Lemaire,$214.99,33,33.3%,48.5%,69.7%,81.8%,84.8%,84.8%,84.8%
84,Bao Bao Issey Miyake,$326.52,31,38.7%,48.4%,64.5%,83.9%,83.9%,83.9%,83.9%
85,Dolce Vita,$42.87,31,9.7%,22.6%,48.4%,80.6%,83.9%,83.9%,83.9%
86,Mario Valentino,$83.22,29,44.8%,58.6%,69.0%,79.3%,89.7%,89.7%,89.7%
87,Lululemon Athletica,$56.95,28,42.9%,60.7%,64.3%,75.0%,78.6%,78.6%,78.6%
88,Yeezy,$167.07,27,25.9%,40.7%,51.9%,77.8%,85.2%,85.2%,85.2%
89,WELLDONE,$150.36,26,3.8%,3.8%,11.5%,38.5%,69.2%,76.9%,76.9%
90,We11done,$149.22,25,0.0%,0.0%,8.0%,36.0%,44.0%,72.0%,72.0%
91,Valentina,$26.24,25,56.0%,72.0%,92.0%,96.0%,96.0%,96.0%,96.0%
92,Vivienne Westwood Red Label,$201.97,23,39.1%,56.5%,60.9%,87.0%,87.0%,87.0%,87.0%
93,Christian Dior The Suit,$247.00,23,8.7%,17.4%,26.1%,69.6%,73.9%,78.3%,78.3%
94,Ann Taylor LOFT,$152.87,23,8.7%,13.0%,21.7%,43.5%,73.9%,73.9%,73.9%
95,Amiri,$266.52,23,4.3%,8.7%,8.7%,43.5%,52.2%,56.5%,56.5%
96,Manu Atelier,$220.22,23,26.1%,26.1%,39.1%,73.9%,82.6%,82.6%,82.6%
97,SMFK,$104.79,22,13.6%,13.6%,27.3%,68.2%,81.8%,81.8%,81.8%
98,Canada Weather Gear,$42.49,20,60.0%,70.0%,75.0%,85.0%,90.0%,90.0%,90.0%
99,Herve Leger X Max Azria,$160.79,19,5.3%,10.5%,21.1%,68.4%,78.9%,84.2%,84.2%
100,Burberry Black Label,$164.29,19,26.3%,31.6%,31.6%,63.2%,73.7%,73.7%,73.7%
101,Fear of God,$111.42,18,16.7%,22.2%,38.9%,66.7%,72.2%,72.2%,72.2%
102,Nike,$112.92,17,11.8%,29.4%,52.9%,58.8%,82.4%,82.4%,82.4%
103,Nike X Jacquemus,$116.62,17,29.4%,41.2%,52.9%,64.7%,70.6%,70.6%,70.6%
104,Aape by A Bathing Ape,$112.80,17,11.8%,23.5%,35.3%,58.8%,70.6%,70.6%,70.6%
105,Adidas Stella McCartney,$106.30,16,31.3%,37.5%,50.0%,81.3%,87.5%,87.5%,87.5%
106,Fendi x SKIMS,$163.87,16,18.8%,56.3%,75.0%,87.5%,93.8%,93.8%,93.8%
107,Prada Linea Rossa,$150.68,16,31.3%,43.8%,56.3%,75.0%,75.0%,75.0%,75.0%
108,American Eagle Outfitters,$155.14,15,0.0%,0.0%,6.7%,60.0%,73.3%,80.0%,80.0%
109,Christian Dior Sports,$163.09,15,20.0%,20.0%,26.7%,60.0%,66.7%,66.7%,66.7%
110,Forever 21,$160.88,15,0.0%,0.0%,0.0%,6.7%,26.7%,33.3%,33.3%
111,Goyard,"$1,349.24",14,28.6%,35.7%,42.9%,50.0%,50.0%,50.0%,50.0%
112,Nike Jordan,$100.85,14,35.7%,42.9%,42.9%,64.3%,78.6%,85.7%,85.7%
113,Christian Dior Chemises ,$109.51,13,0.0%,15.4%,30.8%,61.5%,92.3%,92.3%,92.3%
114,ADER error,$121.12,13,7.7%,23.1%,38.5%,46.2%,53.8%,61.5%,61.5%
115,Zimmermann x Barneys New York,$336.21,13,0.0%,0.0%,15.4%,69.2%,76.9%,76.9%,76.9%
116,Louise Et Cie,$44.20,13,7.7%,15.4%,61.5%,92.3%,100.0%,100.0%,100.0%
117,Plus Gucci,$329.09,13,23.1%,30.8%,38.5%,69.2%,76.9%,76.9%,76.9%
118,Purple Brand,$137.12,13,7.7%,15.4%,30.8%,53.8%,61.5%,61.5%,61.5%
119,Comme des Garçons Comme des Garçons,$142.49,12,41.7%,41.7%,66.7%,83.3%,91.7%,100.0%,100.0%
120,J.Crew,$154.57,12,0.0%,25.0%,41.7%,83.3%,91.7%,91.7%,91.7%
121,OFF-WHITE c/o VIRGIL ABLOH,$258.59,12,0.0%,16.7%,16.7%,50.0%,75.0%,75.0%,75.0%
122,Moa Moa,$17.29,11,27.3%,45.5%,54.5%,72.7%,81.8%,81.8%,81.8%
123,D&G Dolce and Gabbana Junior,$59.65,11,0.0%,9.1%,9.1%,27.3%,54.5%,63.6%,63.6%
124,Ugg X Telfar,$119.01,11,36.4%,45.5%,54.5%,63.6%,72.7%,72.7%,72.7%
125,Yves Saint Laurent Encore ,$127.10,11,9.1%,9.1%,9.1%,36.4%,45.5%,45.5%,45.5%
126,Yves Saint Laurent Variation,$158.47,11,9.1%,27.3%,36.4%,54.5%,54.5%,54.5%,54.5%
127,Denim Tears,$142.41,10,20.0%,40.0%,50.0%,70.0%,80.0%,80.0%,80.0%
128,Moncler Grenoble,$427.10,10,20.0%,20.0%,40.0%,50.0%,80.0%,90.0%,90.0%
129,Palace,$66.64,10,0.0%,0.0%,10.0%,30.0%,50.0%,50.0%,50.0%
130,Baldwin Denim,$52.44,10,0.0%,0.0%,10.0%,10.0%,10.0%,20.0%,20.0%
131,Christian Siriano for Payless,$45.34,10,40.0%,50.0%,60.0%,70.0%,80.0%,80.0%,80.0%
132,Baby Dior,$101.44,10,20.0%,20.0%,20.0%,70.0%,70.0%,70.0%,70.0%
133,Valentino Garavani Les Sacs ,$235.29,10,0.0%,20.0%,20.0%,80.0%,90.0%,90.0%,90.0%
134,The North Face X Gucci,$526.41,9,22.2%,22.2%,33.3%,55.6%,77.8%,88.9%,88.9%
135,Gucci x Adidas,$353.54,9,11.1%,22.2%,22.2%,66.7%,77.8%,77.8%,77.8%
136,Herve Leger X Forever 21,$17.74,9,33.3%,33.3%,77.8%,77.8%,88.9%,88.9%,88.9%
137,Gap,$98.18,9,22.2%,22.2%,44.4%,66.7%,88.9%,100.0%,100.0%
138,Nike X Supreme,$126.18,9,33.3%,33.3%,33.3%,66.7%,88.9%,100.0%,100.0%
139,Chrome Hearts,$405.61,9,22.2%,22.2%,22.2%,33.3%,55.6%,55.6%,55.6%
140,The North Face,$41.18,9,55.6%,66.7%,88.9%,88.9%,88.9%,88.9%,88.9%
141,Guess,$42.87,8,62.5%,62.5%,62.5%,75.0%,75.0%,75.0%,75.0%
142,o.p.t,$38.12,8,50.0%,75.0%,100.0%,100.0%,100.0%,100.0%,100.0%
143,Vivienne Westwood Anglomania + Melissa,$52.49,8,87.5%,87.5%,87.5%,87.5%,87.5%,87.5%,87.5%
144,Loewe + Paula’s Ibiza ,$407.07,8,37.5%,37.5%,37.5%,62.5%,87.5%,87.5%,87.5%
145,D&G Dolce & Gabbana,$187.74,7,28.6%,71.4%,71.4%,85.7%,100.0%,100.0%,100.0%
146,Cactus Jack,$53.07,7,14.3%,28.6%,42.9%,57.1%,57.1%,57.1%,57.1%
147,J&ans by Dolce & Gabbana,$124.62,7,57.1%,57.1%,71.4%,85.7%,85.7%,85.7%,85.7%
148,Moschino by Redwall,$123.31,7,0.0%,28.6%,57.1%,100.0%,100.0%,100.0%,100.0%
149,Givenchy Sport,$107.12,7,0.0%,0.0%,28.6%,28.6%,57.1%,57.1%,57.1%
150,Melissa x Telfar,$135.74,7,28.6%,42.9%,71.4%,85.7%,85.7%,85.7%,85.7%
151,Givenchy En Plus,$87.17,7,0.0%,0.0%,14.3%,100.0%,100.0%,100.0%,100.0%
152,Vilebrequin,$34.60,7,42.9%,57.1%,71.4%,85.7%,100.0%,100.0%,100.0%
153,Gucci x SEGA,$848.49,6,0.0%,0.0%,0.0%,50.0%,66.7%,66.7%,66.7%
154,Valentino Orlandi ,$83.07,6,16.7%,16.7%,66.7%,83.3%,83.3%,83.3%,83.3%
155,Chanel Identification,$541.37,6,0.0%,0.0%,16.7%,50.0%,66.7%,66.7%,66.7%
156,CHANEL SPORT,$582.24,6,16.7%,33.3%,50.0%,100.0%,100.0%,100.0%,100.0%
157,Christian Dior Prēt-A-Porter,$265.41,6,16.7%,16.7%,16.7%,33.3%,66.7%,66.7%,66.7%
158,Louis Vuitton x Takashi Murakami,$734.41,6,50.0%,66.7%,83.3%,100.0%,100.0%,100.0%,100.0%
159,Moose Knuckles X Telfar,$215.74,6,16.7%,16.7%,33.3%,50.0%,83.3%,83.3%,83.3%
160,Bape Kids,$48.62,6,33.3%,50.0%,83.3%,100.0%,100.0%,100.0%,100.0%
161,Adidas,$77.57,6,0.0%,33.3%,66.7%,83.3%,100.0%,100.0%,100.0%
162,Herve Leger X Law Roach,$756.91,6,0.0%,0.0%,0.0%,66.7%,83.3%,83.3%,83.3%
163,Nike X OFF-WHITE,$152.74,5,20.0%,20.0%,60.0%,60.0%,80.0%,80.0%,80.0%
164,Loeffler Randall,$63.14,5,40.0%,40.0%,60.0%,80.0%,100.0%,100.0%,100.0%
165,Valextra,$517.14,5,0.0%,0.0%,0.0%,60.0%,60.0%,60.0%,60.0%
166,Brooks Brothers,$70.74,5,20.0%,40.0%,40.0%,60.0%,60.0%,60.0%,60.0%
167,Valentino Garavani Sport,$170.34,5,0.0%,0.0%,20.0%,60.0%,60.0%,60.0%,60.0%
168,Versace 19.69 Abbigliamento Sportivo,$64.74,5,60.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%
169,Dolce & Gabbana X SKIMS,$77.54,5,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
170,Givenchy Nouvelle Boutique ,$156.74,5,20.0%,20.0%,20.0%,60.0%,80.0%,80.0%,80.0%
171,S.C. & Co.,$12.54,5,20.0%,40.0%,80.0%,100.0%,100.0%,100.0%,100.0%
172,Kimes Ranch,$20.74,5,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
173,Vetements,$252.74,5,20.0%,20.0%,20.0%,60.0%,80.0%,80.0%,80.0%
174,Eastpak X Telfar,$122.91,5,40.0%,60.0%,60.0%,100.0%,100.0%,100.0%,100.0%
175,Spiritual Gangster,$16.74,5,0.0%,80.0%,100.0%,100.0%,100.0%,100.0%,100.0%
176,Moncler 4 Simone Rocha,$598.94,5,60.0%,60.0%,80.0%,100.0%,100.0%,100.0%,100.0%
177,Adidas X Fear of God Athletics,$96.24,5,20.0%,40.0%,60.0%,80.0%,80.0%,80.0%,80.0%
178,Valentino Studio ,$140.74,5,0.0%,0.0%,20.0%,40.0%,40.0%,40.0%,40.0%
179,DC*,$27.49,4,25.0%,50.0%,50.0%,75.0%,75.0%,75.0%,75.0%
180,Stone Island,$147.49,4,0.0%,25.0%,25.0%,50.0%,50.0%,50.0%,50.0%
181,Supreme x Emilio Pucci,$162.74,4,75.0%,75.0%,100.0%,100.0%,100.0%,100.0%,100.0%
182,Delvaux,$930.99,4,0.0%,0.0%,50.0%,50.0%,75.0%,75.0%,75.0%
183,Celine for  Finition Main ,$265.99,4,0.0%,0.0%,25.0%,50.0%,50.0%,50.0%,50.0%
184,Sacai x Nike,$237.74,4,0.0%,25.0%,25.0%,50.0%,75.0%,75.0%,75.0%
185,Boden,$44.74,4,0.0%,50.0%,50.0%,75.0%,100.0%,100.0%,100.0%
186,Play Comme Des Garçons X Nike,$93.24,4,50.0%,50.0%,75.0%,75.0%,75.0%,75.0%,75.0%
187,Cinderella Divine,$67.24,4,25.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%
188,Season 6,$243.49,4,0.0%,0.0%,25.0%,50.0%,75.0%,75.0%,75.0%
189,Princess Polly,$20.24,4,25.0%,50.0%,75.0%,100.0%,100.0%,100.0%,100.0%
190,New Era x Supreme,$45.74,4,50.0%,50.0%,75.0%,75.0%,75.0%,75.0%,75.0%
191,Fendi Mare,$184.94,4,50.0%,50.0%,50.0%,100.0%,100.0%,100.0%,100.0%
192,Selection de Givenchy,$157.49,4,50.0%,50.0%,50.0%,75.0%,100.0%,100.0%,100.0%
193,Fendace,$522.54,4,0.0%,0.0%,0.0%,50.0%,75.0%,75.0%,75.0%
194,Yves St. Clair,$11.99,4,25.0%,50.0%,50.0%,50.0%,75.0%,75.0%,75.0%
195,Off-White for Nike,$120.74,4,0.0%,25.0%,100.0%,100.0%,100.0%,100.0%,100.0%
196,Fendi Jeans,$198.91,4,0.0%,0.0%,25.0%,75.0%,75.0%,75.0%,75.0%
197,Sp5der,$156.74,4,0.0%,0.0%,25.0%,50.0%,50.0%,50.0%,50.0%
198,Valentino Intimo,$96.24,4,50.0%,75.0%,75.0%,75.0%,100.0%,100.0%,100.0%
199,Sesto Meucci,$37.24,4,0.0%,25.0%,75.0%,100.0%,100.0%,100.0%,100.0%
200,HAUS by Golden Goose,$205.24,4,50.0%,50.0%,50.0%,50.0%,75.0%,75.0%,75.0%
201,Revenge,$117.74,4,0.0%,25.0%,50.0%,75.0%,75.0%,75.0%,75.0%
202,Moncler Genius,$428.74,4,25.0%,50.0%,50.0%,75.0%,100.0%,100.0%,100.0%
203,Disney X Gucci,$286.24,4,25.0%,25.0%,25.0%,25.0%,25.0%,25.0%,25.0%
204,PrAna,$19.49,4,50.0%,50.0%,75.0%,75.0%,75.0%,75.0%,75.0%
205,Balmain for H&M,$113.99,4,25.0%,50.0%,50.0%,75.0%,75.0%,75.0%,75.0%
206,Valentino Roma,$165.49,4,0.0%,0.0%,25.0%,50.0%,75.0%,75.0%,75.0%
207,Free People,$46.24,4,50.0%,75.0%,75.0%,100.0%,100.0%,100.0%,100.0%
208,Christian Dior Le Connaisseur,$164.24,4,0.0%,0.0%,0.0%,50.0%,75.0%,75.0%,75.0%
209,CK Bradley New York,$65.41,3,0.0%,0.0%,0.0%,0.0%,33.3%,33.3%,33.3%
210,See By Chloé,$91.41,3,33.3%,33.3%,33.3%,100.0%,100.0%,100.0%,100.0%
211,Fendi 365,$270.74,3,0.0%,0.0%,0.0%,66.7%,66.7%,66.7%,66.7%
212,Universal Thread,$10.07,3,0.0%,0.0%,33.3%,66.7%,66.7%,66.7%,66.7%
213,Groceries Apparel,$25.07,3,0.0%,66.7%,66.7%,66.7%,100.0%,100.0%,100.0%
214,M.C,$15.07,3,33.3%,33.3%,66.7%,66.7%,66.7%,66.7%,66.7%
215,Jimmy Choo x Ashley Williams,$123.54,3,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%
216,Comme des Garçons GIRL,$70.74,3,66.7%,66.7%,100.0%,100.0%,100.0%,100.0%,100.0%
217,Chloé x Mifuko,$359.07,3,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%
218,Zara,$28.74,3,0.0%,0.0%,33.3%,66.7%,66.7%,66.7%,66.7%
219,Moreau,$355.41,3,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
220,October's Very Own OVO,$28.07,3,0.0%,0.0%,33.3%,100.0%,100.0%,100.0%,100.0%
221,Acne Studios x Honey Dijon,$64.74,3,33.3%,33.3%,33.3%,33.3%,66.7%,66.7%,66.7%
222,Gap Kids,$39.07,3,0.0%,0.0%,0.0%,33.3%,33.3%,33.3%,33.3%
223,Rolex,$152.07,3,33.3%,33.3%,33.3%,100.0%,100.0%,100.0%,100.0%
224,Dior Homme,$139.99,3,33.3%,33.3%,66.7%,100.0%,100.0%,100.0%,100.0%
225,Dolce & Gabbana Basic,$72.74,3,33.3%,33.3%,33.3%,66.7%,66.7%,66.7%,66.7%
226,Aupen,$243.74,3,33.3%,33.3%,33.3%,66.7%,66.7%,66.7%,66.7%
227,Burberry Brit,$144.74,3,33.3%,33.3%,33.3%,66.7%,66.7%,66.7%,66.7%
228,BABY MILO *A Bathing Ape,$90.99,3,0.0%,66.7%,100.0%,100.0%,100.0%,100.0%,100.0%
229,Valentino TECHNOCOUTURE,$63.74,3,33.3%,33.3%,66.7%,66.7%,66.7%,66.7%,66.7%
230,Versace Sport,$53.41,3,33.3%,33.3%,66.7%,66.7%,66.7%,66.7%,66.7%
231,Nike X Cactus Jack,$102.41,3,33.3%,66.7%,66.7%,66.7%,100.0%,100.0%,100.0%
232,Puma X Balmain,$61.74,3,66.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
233,Self-Portrait x Le Specs,$123.41,3,0.0%,0.0%,33.3%,33.3%,66.7%,66.7%,66.7%
234,Young Versace,$65.74,3,0.0%,0.0%,0.0%,33.3%,66.7%,66.7%,66.7%
235,Vivienne Westwood + Melissa Queen,$61.74,3,33.3%,33.3%,100.0%,100.0%,100.0%,100.0%,100.0%
236,Converse x Telfar,$75.41,3,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%
237,Scala,$112.74,3,0.0%,33.3%,66.7%,100.0%,100.0%,100.0%,100.0%
238,Dubarry,$16.74,3,66.7%,66.7%,100.0%,100.0%,100.0%,100.0%,100.0%
239,Escada,$112.41,3,66.7%,66.7%,66.7%,66.7%,100.0%,100.0%,100.0%
240,Athleta,$37.41,3,0.0%,66.7%,66.7%,66.7%,66.7%,66.7%,66.7%
241,Tommy Hilfiger,$19.07,3,66.7%,66.7%,66.7%,66.7%,66.7%,66.7%,66.7%
242,Prada Sport,$114.41,3,0.0%,33.3%,100.0%,100.0%,100.0%,100.0%,100.0%
243,Ugg,$58.41,3,66.7%,66.7%,100.0%,100.0%,100.0%,100.0%,100.0%
244,Sam Edelman,$36.41,3,66.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
245,Banana Republic,$23.74,3,0.0%,0.0%,0.0%,33.3%,66.7%,66.7%,66.7%
246,Rick Owens DRKSHDW,$284.41,3,0.0%,0.0%,0.0%,33.3%,33.3%,33.3%,33.3%
247,Christian Dior Lounge Wear,$139.41,3,33.3%,33.3%,33.3%,33.3%,100.0%,100.0%,100.0%
248,Manolo Blahnik Exclusively for Neiman Marcus,$190.41,3,0.0%,0.0%,66.7%,100.0%,100.0%,100.0%,100.0%
249,Christian Lacroix,$127.41,3,0.0%,33.3%,66.7%,66.7%,100.0%,100.0%,100.0%
250,Lilly Pulitzer,$43.07,3,33.3%,66.7%,66.7%,100.0%,100.0%,100.0%,100.0%
251,Cupshe,$11.41,3,33.3%,33.3%,33.3%,66.7%,66.7%,66.7%,66.7%
252,A-Cold-Wall*,$119.74,3,0.0%,33.3%,33.3%,33.3%,33.3%,33.3%,33.3%
253,J.Crew Factory Store,$19.74,2,50.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
254,Dolce & Gabbana Intimo,$95.14,2,50.0%,50.0%,50.0%,100.0%,100.0%,100.0%,100.0%
255,Reformation,$62.74,2,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
256,Louis Vuitton x Fornasetti,$619.74,2,0.0%,0.0%,50.0%,50.0%,50.0%,50.0%,50.0%
257,Stella McCartney for LeSportsac,$99.74,2,0.0%,0.0%,50.0%,100.0%,100.0%,100.0%,100.0%
258,Ann Taylor,$30.74,2,0.0%,0.0%,50.0%,100.0%,100.0%,100.0%,100.0%
259,Versace by C.A.R. Abbigliamento S.r.l.,$181.24,2,50.0%,50.0%,50.0%,100.0%,100.0%,100.0%,100.0%
260,RED Valentino,$226.74,2,0.0%,0.0%,0.0%,50.0%,100.0%,100.0%,100.0%
261,Versace X Dua Lipa,$272.74,2,0.0%,0.0%,0.0%,50.0%,50.0%,50.0%,50.0%
262,Charter Club,$19.74,2,0.0%,0.0%,50.0%,50.0%,50.0%,50.0%,100.0%
263,Kate Spade New York,$70.74,2,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
264,Main Label,$161.24,2,0.0%,0.0%,0.0%,0.0%,50.0%,50.0%,50.0%
265,The Children's Place,$8.24,2,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%,50.0%
266,HL by Herve Leger,$73.74,2,0.0%,0.0%,50.0%,100.0%,100.0%,100.0%,100.0%
267,Moschino Mare,$126.74,2,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
268,BAPY BY A BATHING APE,$62.74,2,0.0%,0.0%,0.0%,50.0%,100.0%,100.0%,100.0%
269,Étoile Isabel Marant,$89.74,2,0.0%,50.0%,50.0%,100.0%,100.0%,100.0%,100.0%
270,Adidas X PHARRELL WILLIAMS,$21.74,2,0.0%,0.0%,0.0%,50.0%,50.0%,50.0%,50.0%
271,Superga,$16.24,2,50.0%,50.0%,50.0%,100.0%,100.0%,100.0%,100.0%
272,Victoria's Secret,$28.74,2,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
273,Torrid,$19.74,2,50.0%,50.0%,100.0%,100.0%,100.0%,100.0%,100.0%
274,Adidas x Wales Bonner,$79.24,2,0.0%,0.0%,50.0%,50.0%,50.0%,50.0%,50.0%
275,Coogi,$51.74,2,50.0%,50.0%,100.0%,100.0%,100.0%,100.0%,100.0%
276,Bape Sta,$102.74,2,0.0%,0.0%,50.0%,50.0%,50.0%,50.0%,50.0%
277,Cole Haan,$59.74,2,50.0%,50.0%,50.0%,50.0%,100.0%,100.0%,100.0%
278,Céline by Champion,$20.24,2,0.0%,0.0%,0.0%,50.0%,50.0%,50.0%,50.0%
279,Herve Leger X Julia Restoin Roitfeld,$197.24,2,0.0%,0.0%,0.0%,50.0%,50.0%,100.0%,100.0%
280,Union LA x Air Jordan,$130.07,2,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%
281,Bottega Giotti,$132.74,2,50.0%,50.0%,50.0%,50.0%,50.0%,100.0%,100.0%
282,Adrianna Papell,$26.74,2,50.0%,50.0%,50.0%,100.0%,100.0%,100.0%,100.0%
283,The North Face x Supreme,$190.74,2,0.0%,50.0%,50.0%,100.0%,100.0%,100.0%,100.0%
284,Versace For Riachuelo,$209.24,2,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%
285,Zella,$55.24,2,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,50.0%
286,Banana Republic Factory Store,$16.74,2,0.0%,0.0%,50.0%,100.0%,100.0%,100.0%,100.0%
287,Trina Turk,$71.41,2,50.0%,50.0%,100.0%,100.0%,100.0%,100.0%,100.0%
288,Philcos,$5.74,2,50.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
