,Name,Average Price At Listing,COUNT of items,SELL THRU % items sold in 7 listing days,SELL THRU % items sold in 14 listing days,SELL THRU % items sold in 30 listing Days,SELL THRU % items sold in 3 listing months,SELL THRU % items sold in 6 listing months,SELL THRU % items sold in 9 listing months,SELL THRU % items sold in 12 listing months
346,Air Jordan x Billie Eilish,$115.24,2,50.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
347,Picadilly Fashions,$24.74,2,0.0%,0.0%,50.0%,100.0%,100.0%,100.0%,100.0%
348,Chloé Stora,$45.24,2,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,50.0%
349,Alo,$31.24,2,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
350,Tony Bianco,$37.74,1,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%
351,Venezia,$14.74,1,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
352,Ideology,$10.74,1,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
353,Moncler Gamme Rouge,$529.74,1,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%
354,Cos,$32.74,1,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
355,2Bella,$23.74,1,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
356,Dolce Cabo,$42.74,1,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
357,OFF-WHITE x Air Jordan,,1,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
358,Fabletics,$9.74,1,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%
359,Ann Taylor LOFT Outlet,$20.74,1,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
360,Gucci x Balenciaga,$445.74,1,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%
361,Hayley Menzies,$61.74,1,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
362,Ugg & Jimmy Choo,$154.74,1,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%
363,Blank London,$17.74,1,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
364,Painted Pony,$14.74,1,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
365,Arrive Guide,$10.74,1,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
366,HBCU Cross Colours,$17.74,1,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
367,DD Collection,$7.74,1,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
368,Saints & Hearts,$264.74,1,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%
369,Air Max,,1,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
370,Versace for H&M,$95.74,1,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
371,Lodis,$15.74,1,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
372,Rose Art Modes Exclusive with Zimmerman,$100.74,1,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
373,NIIA,$26.74,1,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%
374,Goody Goody California,$12.74,1,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
375,Horze,$45.74,1,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
376,The Group by Babaton,$30.74,1,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%
377,Baldwin Kansas City,$21.74,1,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%
378,On Cloud,$50.74,1,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
379,Curves N Combatboots,$18.74,1,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
380,Asha,$19.74,1,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%
381,G-Star,$22.74,1,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
382,Moschino Jeans,$63.74,1,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
383,Robby Lens Swimwear,$22.74,1,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%
384,GIVENCHY HI FORMAL,$150.74,1,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%
385,Urban Outfitters,$9.74,1,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%
386,Enzoro Valentino,$56.74,1,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%
387,Quinn,$49.74,1,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%
388,Coach Factory,$78.74,1,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
389,Scene & Heard,$13.74,1,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
390,Beleaf,$11.74,1,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
391,Must de Cartier,$175.74,1,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
392,Kit and Ace,$57.74,1,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
393,Supreme X Dr. Martens,$146.74,1,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
394,Tricot Comme des Garçons,$100.74,1,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
395,ACW Design,$2.74,1,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
396,Dolce & Gabbana Mare,$119.74,1,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
397,Poetry Clothing,$29.74,1,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
398,VeraRose,$11.74,1,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
399,Anti Social Social Club x UNDEFEATED,$75.74,1,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
400,Alyx,$247.74,1,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%
401,Ampersand Ave,$17.74,1,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%
402,Cashmere,$27.74,1,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
403,Express,$33.74,1,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%
404,OC by OC,$19.74,1,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
405,Coco,$23.74,1,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%
406,QEARAL,$12.74,1,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
407,DerSchutze,$38.74,1,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%
408,VALIÁNTE,$37.74,1,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
409,Lotus Arts de Vivre,$75.74,1,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
410,Blueberry Denim,$13.74,1,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%
411,TR,$10.74,1,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%
412,D&G Junior,$19.74,1,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
413,LE COVE,$16.74,1,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%
414,Polly,$8.74,1,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%
415,David Lerner,$26.74,1,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
416,VSX Sport,$30.74,1,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
417,Armitron ,$36.74,1,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%
418,Happi Space,$30.74,1,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
419,Agua by Agua Bendita x Gucci Vault,$684.74,1,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%
420,Kona Sol,$12.74,1,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%
421,Orolay,$63.74,1,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
422,Brian Reyes,$94.74,1,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
423,BCBGMAXAZRIA,$44.74,1,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%
424,Jennifer & Grace,$48.74,1,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
425,Appaman,$10.74,1,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%
426,SLA The Label,$19.74,1,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%
427,Lusso,$92.74,1,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%
428,Adriano Goldschmied,$31.74,1,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%
429,SUPreme Paddle Gear,$28.74,1,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%
430,Express One Eleven,$17.74,1,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%
431,Giorgio Armani,$61.74,1,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
432,Cache,$29.74,1,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
433,JS Collections,$54.74,1,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
434,BeachLunchLounge,$23.74,1,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
435,J by Joie,$62.74,1,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
436,Wildfox,$43.74,1,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%
437,Steve Madden,$39.74,1,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
438,Lennie For Nina Leonard,$16.74,1,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%
439,Tribal Jeans,$41.74,1,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
440,Tela,$68.74,1,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%
441,Studio by Liz Claiborne,$8.74,1,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%
442,Moncler x Loro Piana,$599.74,1,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%
443,Valentino Garavani X Birkenstock,$239.74,1,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%
444,Gianni Valentino,$24.74,1,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%
445,Comme des Garçons SHIRT,$310.74,1,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
446,Sanctuary,$20.74,1,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%
447,Devon Windsor,$33.74,1,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
448,Forgotten Grace,$19.74,1,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
449,D&G Pashmina,$45.74,1,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%
450,OPT,$46.74,1,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
