item_number,brand_name,category,quality_code,estimated_erp,listed_price,sold_price
207898485,Acne Studios,Ankle Boots,Q3,545.0,114.74,114.74
209155180,Acne Studios,Ankle Boots,Q3,560.0,95.74,95.74
207715230,Acne Studios,Ankle Boots,Q3,520.0,166.74,159.74
207899204,Acne Studios,Ankle Boots,Q3,850.0,127.74,127.74
212884673,Acne Studios,Ankle Boots,Q3,750.0,149.74,149.74
209282487,Acne Studios,Ankle Boots,Q3,1050.0,209.74,209.74
212634930,Acne Studios,Athletic Shorts,Q3,150.0,60.74,60.74
207735312,Acne Studios,Baseball Cap,Q1,232.0,146.74,115.74
206435643,Acne Studios,Beanie,Q1,190.0,72.74,72.74
213713464,Acne Studios,Beanie,Q1,190.0,93.74,93.74
205752489,Acne Studios,Beanie,Q1,190.0,79.74,79.74
216066013,Acne Studios,Beanie,Q1,190.0,95.74,95.74
213152959,Acne Studios,Beanie,Q2,220.0,101.74,101.74
208963871,Acne Studios,Beanie,Q2,190.0,68.74,68.74
208631230,Acne Studios,Beanie,Q2,190.0,76.74,76.74
210425419,Acne Studios,Beanie,Q2,180.0,90.74,90.74
206032034,Acne Studios,Beanie,Q3,190.0,57.74,57.74
211990277,Acne Studios,Beanie,Q3,300.0,65.74,65.74
205786382,Acne Studios,Beanie,Q3,150.0,52.74,52.74
208232552,Acne Studios,Blazer,Q2,1000.0,270.74,270.74
210069324,Acne Studios,Blazer,Q3,1150.0,299.74,299.74
208686842,Acne Studios,Blazer,Q3,1000.0,130.74,0.0
207988071,Acne Studios,Boots,Q2,750.0,225.74,190.74
206559899,Acne Studios,Cardigan,Q1,175.0,131.74,131.74
210926214,Acne Studios,Cardigan,Q1,590.0,212.74,150.74
208255071,Acne Studios,Cardigan,Q1,1050.0,315.74,300.74
208414960,Acne Studios,Cardigan,Q1,560.0,246.74,246.74
210900317,Acne Studios,Cardigan,Q2,400.0,184.74,184.74
209390656,Acne Studios,Cardigan,Q2,430.0,258.74,258.74
214275505,Acne Studios,Cardigan,Q2,382.0,68.74,68.74
210733041,Acne Studios,Cardigan,Q2,680.0,176.74,176.74
206487857,Acne Studios,Cardigan,Q2,590.0,117.74,117.74
212093839,Acne Studios,Cardigan,Q2,600.0,125.74,125.74
205799932,Acne Studios,Cardigan,Q3,470.0,117.74,117.74
214518258,Acne Studios,Cargo Pants,Q2,835.0,275.74,275.74
209031363,Acne Studios,Cargo Pants,Q2,680.0,278.74,278.74
210714371,Acne Studios,Casual Dress,Q1,750.0,195.74,195.74
209284564,Acne Studios,Casual Dress,Q1,1900.0,266.74,266.74
207521600,Acne Studios,Casual Dress,Q1,500.0,125.74,125.74
207371586,Acne Studios,Casual Dress,Q1,670.0,221.74,211.74
208475488,Acne Studios,Casual Dress,Q2,620.0,93.74,93.74
210462644,Acne Studios,Casual Dress,Q2,750.0,164.74,164.74
207732383,Acne Studios,Casual Dress,Q2,850.0,136.74,136.74
211252283,Acne Studios,Casual Dress,Q2,620.0,210.74,210.74
209881087,Acne Studios,Casual Dress,Q2,700.0,126.74,126.74
206942640,Acne Studios,Casual Dress,Q2,400.0,79.74,99.74
210969333,Acne Studios,Casual Dress,Q2,750.0,142.74,142.74
207041390,Acne Studios,Casual Dress,Q2,1500.0,284.74,270.74
216946147,Acne Studios,Casual Pants,Q2,420.0,155.74,155.74
210005712,Acne Studios,Casual Pants,Q2,440.0,92.74,101.74
208335368,Acne Studios,Casual Pants,Q2,470.0,117.74,105.74
207213661,Acne Studios,Casual Pants,Q2,400.0,120.74,85.74
207213734,Acne Studios,Casual Pants,Q2,450.0,180.74,180.74
210516415,Acne Studios,Casual Pants,Q3,210.0,41.74,41.74
212585216,Acne Studios,Casual Skirt,Q1,580.0,232.74,232.74
