,name,category,average_listing_price,total_items,sell_seven_days,sell_fourteen,sell_30,sell_3months,sell_6months,sell-9months,sell_12months
430,Aquazzura,Heels,$204.85,57,3.50%,10.50%,28.10%,64.90%,89.50%,93.00%,93.00%
431,Alexander McQueen,Sunglasses,$156.56,57,19.30%,33.30%,49.10%,78.90%,84.20%,84.20%,84.20%
432,Céline,Heels,$202.21,57,5.30%,19.30%,42.10%,63.20%,86.00%,87.70%,87.70%
433,Zimmermann,One Piece Swimsuit,$140.20,57,31.60%,40.40%,54.40%,78.90%,82.50%,82.50%,82.50%
434,Fendi,Scarf,$153.35,57,45.60%,54.40%,66.70%,80.70%,86.00%,86.00%,86.00%
435,Love Moschino,Short Sleeve T-Shirt,$64.49,57,14.00%,22.80%,40.40%,71.90%,89.50%,89.50%,89.50%
436,Chloé,Leather Shoulder Bag,$423.17,56,23.20%,33.90%,42.90%,83.90%,85.70%,85.70%,85.70%
437,Tod's,Sneakers,$126.74,56,10.70%,14.30%,39.30%,73.20%,83.90%,83.90%,83.90%
438,Chanel,Leather Shoulder Bag,"$2,073.76",56,14.30%,19.60%,32.10%,82.10%,87.50%,87.50%,87.50%
439,Stella McCartney,Wool Pants,$155.83,56,5.40%,8.90%,26.80%,71.40%,83.90%,83.90%,83.90%
440,Chloé,Boots,$278.65,56,25.00%,33.90%,46.40%,66.10%,76.80%,76.80%,76.80%
441,Fjällräven,Beanie,$29.78,56,80.40%,87.50%,91.10%,94.60%,94.60%,94.60%,94.60%
442,Dooney & Bourke,Leather Wallet,$35.26,56,75.00%,83.90%,92.90%,92.90%,94.60%,94.60%,94.60%
443,Manolo Blahnik,Ankle Boots,$229.33,56,12.50%,17.90%,26.80%,69.60%,85.70%,87.50%,87.50%
444,Marc Jacobs,Shoulder Bag,$153.47,55,30.90%,41.80%,60.00%,78.20%,89.10%,89.10%,89.10%
445,Valentino Garavani,Wedges,$232.45,55,18.20%,30.90%,47.30%,74.50%,85.50%,87.30%,87.30%
446,Mansur Gavriel,Leather Bucket Bag,$173.85,55,29.10%,41.80%,61.80%,78.20%,80.00%,80.00%,80.00%
447,Louis Vuitton,Leather Tote,$560.14,55,16.40%,25.50%,40.00%,85.50%,90.90%,90.90%,90.90%
448,Fjällräven,Active Pants,$56.11,55,70.90%,74.50%,85.50%,89.10%,90.90%,90.90%,90.90%
449,Max Mara,Formal Skirt,$103.78,55,10.90%,21.80%,32.70%,52.70%,78.20%,85.50%,89.10%
450,Moncler,Jacket,$392.46,55,29.10%,38.20%,50.90%,80.00%,87.30%,89.10%,89.10%
451,Fjällräven,Wool Pullover Sweater,$71.98,55,89.10%,98.20%,100.00%,100.00%,100.00%,100.00%,100.00%
452,Gucci,Short Sleeve T-Shirt,$161.99,55,29.10%,34.50%,54.50%,89.10%,92.70%,92.70%,92.70%
453,Alexander Wang,Sandals,$162.45,55,7.30%,12.70%,36.40%,58.20%,65.50%,65.50%,65.50%
454,Just Cavalli,Jeans,$101.25,55,27.30%,41.80%,56.40%,83.60%,89.10%,89.10%,89.10%
455,Rouje Paris,Jeans,$85.93,55,49.10%,72.70%,78.20%,92.70%,94.50%,94.50%,94.50%
456,Dolce & Gabbana,Casual Pants,$183.38,55,3.60%,10.90%,27.30%,65.50%,78.20%,78.20%,78.20%
457,Coach,Tote,$85.65,55,72.70%,87.30%,96.40%,96.40%,96.40%,96.40%,96.40%
458,Coach,Sandals,$51.99,54,50.00%,59.30%,83.30%,87.00%,88.90%,88.90%,88.90%
459,Dolce & Gabbana,Blazer,$298.05,54,22.20%,27.80%,40.70%,68.50%,77.80%,77.80%,77.80%
460,Acne Studios,Casual Dress,$163.74,54,9.30%,13.00%,27.80%,59.30%,75.90%,77.80%,77.80%
461,Prada,Sneakers,$297.93,54,22.20%,27.80%,40.70%,66.70%,81.50%,81.50%,81.50%
462,Brunello Cucinelli,Cardigan,$305.93,54,22.20%,29.60%,44.40%,77.80%,81.50%,81.50%,81.50%
463,MARNI,Casual Skirt,$164.31,54,9.30%,18.50%,31.50%,57.40%,72.20%,72.20%,72.20%
464,Gucci,Leather Hobo,$489.68,54,22.20%,29.60%,51.90%,75.90%,88.90%,88.90%,88.90%
465,Kenzo,Pullover Sweater,$101.52,54,18.50%,35.20%,50.00%,72.20%,79.60%,79.60%,79.60%
466,Burberry,Cardigan,$157.17,54,22.20%,42.60%,55.60%,79.60%,85.20%,85.20%,85.20%
467,Givenchy,Leather Satchel,$677.10,53,11.30%,15.10%,26.40%,73.60%,83.00%,83.00%,83.00%
468,Fjällräven,Satchel,$36.74,53,88.70%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
469,Tory Burch,Heels,$80.68,53,41.50%,52.80%,75.50%,86.80%,92.50%,92.50%,92.50%
470,Givenchy,Sandals,$190.66,53,11.30%,22.60%,47.20%,66.00%,77.40%,77.40%,77.40%
471,Burberry,Crossbody Bag,$355.02,53,35.80%,50.90%,62.30%,86.80%,86.80%,86.80%,86.80%
472,Tumi,Tote,$96.95,52,38.50%,61.50%,84.60%,96.20%,100.00%,100.00%,100.00%
473,Burberry,3/4 Sleeve T-Shirt,$99.85,52,23.10%,46.20%,59.60%,82.70%,84.60%,84.60%,84.60%
474,Fendi,Cocktail Dress,$305.16,52,1.90%,5.80%,5.80%,53.80%,69.20%,69.20%,69.20%
475,Marc Jacobs,Leather Card Holder,$49.26,52,42.30%,65.40%,88.50%,94.20%,94.20%,94.20%,94.20%
476,Dolce & Gabbana,Wool Pants,$169.89,52,7.70%,13.50%,25.00%,80.80%,84.60%,84.60%,84.60%
477,Burberry,Leather Satchel,$423.86,52,21.20%,28.80%,42.30%,76.90%,84.60%,84.60%,84.60%
478,Valentino,Heels,$298.07,52,13.50%,19.20%,32.70%,61.50%,73.10%,73.10%,73.10%
479,Gucci,Casual Pants,$258.45,52,11.50%,15.40%,26.90%,67.30%,88.50%,88.50%,88.50%
480,Brunello Cucinelli,Cashmere Pullover Sweater,$261.68,52,34.60%,42.30%,57.70%,84.60%,90.40%,90.40%,90.40%
481,Missoni,Casual Dress,$232.68,52,15.40%,19.20%,34.60%,73.10%,96.20%,98.10%,98.10%
482,Prada,Casual Skirt,$184.12,52,21.20%,26.90%,34.60%,73.10%,82.70%,82.70%,82.70%
483,Coach,Boots,$63.98,51,62.70%,74.50%,90.20%,94.10%,94.10%,94.10%,94.10%
484,Fendi,Sandals,$260.90,51,13.70%,19.60%,39.20%,62.70%,76.50%,76.50%,76.50%
